850;IAQUINTA;Vincenzo;A;JUVENTUS
851;IBRAHIMOVIC;Zlatan;A;INTER
852;INZAGHI;Filippo;A;MILAN
853;INZAGHI;Simone;A;LAZIO
854;IUNCO;Antimo;A;CHIEVO
855;IZCO;Mariano Julio;A;CATANIA
856;JEDA;Capucho Neves;A;CAGLIARI
857;JOELSON;Inacio;A;
858;KONAN;Axel Cedric;A;LECCE
859;LANGELLA;Antonio;A;CHIEVO
860;LANZAFAME;Davide;A;PALERMO
861;LARRIVEY;Joaquin;A;CAGLIARI
862;LAVEZZI;Ezequiel;A;NAPOLI
863;LAZZARI;Andrea;A;CAGLIARI
864;MACCARONE;Massimo;A;SIENA
865;MAKINWA;Ayodele Stephen;A;LAZIO
866;MALONGA;Dominique;A;TORINO
867;MARAZZINA;Massimo;A;BOLOGNA
868;MARCONI;Michele;A;ATALANTA
869;MARTINEZ;Jorge Andres;A;CATANIA
870;MASCARA;Giuseppe;A;CATANIA
871;MASIERO;Matias;A;
872;MATRI;Alessandro;A;CAGLIARI
873;MICCOLI;Fabrizio;A;PALERMO
874;MONTELLA;Vincenzo;A;ROMA
875;MORIMOTO;Takayuki;A;CATANIA
876;MORO;Marco;A;TORINO
877;MUTU;Adrian;A;FIORENTINA
878;NIELSEN;Nickie;A;
879;OBINNA;Victor Nsofor;A;CHIEVO
880;OKAKA;Stefano;A;ROMA
881;OSVALDO;Pablo Daniel;A;FIORENTINA
882;PALOSCHI;Alberto;A;
883;PANDEV;Goran;A;LAZIO
884;PAOLUCCI;Michele;A;CATANIA
885;PAONESSA;Gabriele;A;BOLOGNA
886;PAPA WAIGO;Ndiaye;A;FIORENTINA
887;PATO;Alexandre;A;MILAN
888;PAZZINI;Giampaolo;A;FIORENTINA
889;PELLISSIER;Sergio;A;CHIEVO
890;PEPE;Simone;A;UDINESE
891;PIA';Inacio Joao Batista;A;NAPOLI
892;PLASMATI;Gianvito;A;CATANIA
893;PORTA;Richard;A;SIENA
894;QUAGLIARELLA;Fabio;A;UDINESE
895;ROCCHI;Tommaso;A;LAZIO
896;RONALDINHO;Ronaldo de Assis Moreira;A;MILAN
897;RUSSOTTO;Andrea;A;NAPOLI
898;SANCHEZ;Alexis;A;UDINESE
899;SPINESI;Gionatha;A;CATANIA
900;STELLONE;Roberto;A;TORINO
901;STUANI;Christian;A;REGGINA
902;SUAZO;David;A;INTER
903;TIRIBOCCHI;Simone;A;LECCE
904;TOTTI;Francesco;A;ROMA
905;TREZEGUET;David;A;JUVENTUS
906;VENTOLA;Nicola;A;TORINO
907;VIERI;Christian;A;ATALANTA
908;VUCINIC;Mirko;A;ROMA
909;ZALAYETA;Marcelo;A;NAPOLI
910;ZARATE;Mauro Matias;A;LAZIO
911;CORRADI;Bernardo;A;REGGINA
912;CASTILLO;Jose' Ignacio;A;LECCE
913;ANTENUCCI;Mirko;A;CATANIA
914;BAPTISTA;Julio;A;ROMA
915;RAGATZU;Daniele;A;CAGLIARI
916;SANSONE;Gianluca;A;SIENA
917;LEONARDO;Augusto Gomez;A;LECCE
918;GRANOCHE;Pablo;A;
919;KERLON;Foquinha;A;CHIEVO
920;SHEVCHENKO;Andriy;A;MILAN
921;BIANCHI;Rolando;A;TORINO
